Profile,Data set,Iteration,Function name,Calls,Calls (relative),Self time,Self time (relative),Proportion,Proportion (relative)
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","sort_block_scores_descending",1689,9.4889176801166e-06,0.00333333333333333,1.90352914303118e-05,0,0
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","test",1,5.61806849029994e-09,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","top_n_outlier_pruning_block",1,5.61806849029994e-09,28.1666666666667,0.160848212586135,16.1,0.160865945045795
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","add_neighbour",88996023,0.499985752578309,9.52,0.0518377348216717,5.18666666666667,0.0518234804329725
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","best_outliers",1689,9.4889176801166e-06,0.00333333333333333,1.81504673745349e-05,0.00333333333333333,3.33055786844296e-05
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","distance_squared",88996023,0.499985752578309,145.983333333333,0.794899718667756,79.5566666666667,0.794904246461282
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","merge",1689,9.4889176801166e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","read_vardump",1,5.61806849029994e-09,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","set_num_vectors",2,1.12361369805999e-08,0.0766666666666667,0.000417460749614303,0.04,0.000399666944213156
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","sort_block_scores_descending",1689,9.4889176801166e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","test",1,5.61806849029994e-09,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","connect4","average","top_n_outlier_pruning_block",1,5.61806849029994e-09,28.0666666666667,0.152826935293584,15.2966666666667,0.152839300582848
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","add_neighbour",19320227,0.499991653964086,0.36,0.0110576430838538,1.10333333333333,0.0110234122622973
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","best_outliers",320,8.28133796091048e-06,0.00333333333333333,0.000102385584109757,0.00666666666666667,6.66067206181104e-05
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","distance_squared",19320227,0.499991653964086,31.9133333333333,0.980239582266817,98.12,0.980317714057348
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","merge",320,8.28133796091048e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","read_vardump",1,2.58791811278453e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","set_num_vectors",2,5.17583622556905e-08,0.00666666666666667,0.000204771168219515,0.02,0.000199820161854331
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","test",1,2.58791811278453e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","letter-recognition","average","top_n_outlier_pruning_block",1,2.58791811278453e-08,0.273333333333333,0.0083956178970001,0.84,0.00839244679788191
