Profile,Data set,Iteration,Function Name,Calls,Calls (relative),Total time,Total time (relative),Self time,Self time (relative)
"C_no_blocking","ball1","average","findobj",19,0.000340609631484281,0.14,0.00310345591984217,0,0
"C_no_blocking","ball1","average","forest_components (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","fullfile",6,0.000107560936258194,0,0,0,0
"C_no_blocking","ball1","average","getprinttemplate",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","graph2d/private/lineseriesmex (MEX-file)",2416,0.0433112036666328,0.0266666666666667,0.000591134460922318,0.0266666666666667,0.00303593791506964
"C_no_blocking","ball1","average","graph2dhelper",2416,0.0433112036666328,0.379333333333333,0.00840888770661997,0.196666666666667,0.0223900421236386
"C_no_blocking","ball1","average","graphics/.../inputcheck>LocalCheckDevice",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/...te/checkArgsForHandleToPrint",3,5.3780468129097e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/...te/render>LocalGetSLSFObject",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/alternatePrintPath",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/blt",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/findobjhelper",19,0.000340609631484281,0.14,0.00310345591984217,0.14,0.0159386740541156
"C_no_blocking","ball1","average","graphics/private/fireprintbehavior",2,3.5853645419398e-05,2.65066666666667,0.0587587654156784,0.236666666666667,0.026943948996243
"C_no_blocking","ball1","average","graphics/private/getget",12,0.000215121872516388,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","graphics/private/getpp",1,1.7926822709699e-05,0.00333333333333333,7.38918076152897e-05,0,0
"C_no_blocking","ball1","average","graphics/private/ghostscript",1,1.7926822709699e-05,0.0866666666666667,0.00192118699799753,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","graphics/private/gscript (MEX-file)",1,1.7926822709699e-05,0.08,0.00177340338276695,0.08,0.00910781374520891
"C_no_blocking","ball1","average","graphics/private/inputcheck",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/isSLorSF",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/isfigure",14,0.000250975517935786,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","graphics/private/isslhandle",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/name",1,1.7926822709699e-05,0.00666666666666667,0.000147783615230579,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","graphics/private/name>fixTilde",1,1.7926822709699e-05,0,0,0,0
