Data set,Block size,Iteration,Dimensions,Vectors,Total time,Total time (normalised),Projected dimensions,Projected vectors,Function time,Function time (normalised),Distance calls,Distance calls (normalised),Pruned,Pruned (normalised)
"magicgamma",10,1,11,19020,482.698,0.815574892286897,200,19020,2.590,0.0292476906746166,233676302,0.18920744956302,99640,0.38798356793801
"magicgamma",15,1,11,19020,470.844,0.795546168792768,200,19020,2.552,0.0288185739774601,241844900,0.195821554548667,118303,0.460654556782119
"magicgamma",30,1,11,19020,478.015,0.807662414463124,200,19020,2.704,0.0305350407660862,250193546,0.202581444205618,136957,0.533290500944259
"magicgamma",40,1,11,19020,481.664,0.813827827996959,200,19020,2.476,0.027960340583147,258620990,0.209405136518137,155606,0.605906975838639
"magicgamma",45,1,11,19020,486.998,0.822840246684126,200,19020,2.538,0.0286604783521919,267168386,0.216325953835612,174246,0.678488406051048
"magicgamma",60,1,11,19020,480.226,0.811398158317141,200,19020,2.482,0.0280280958511191,275832054,0.223340916466015,192882,0.751054260849249
"magicgamma",90,1,11,19020,478.779,0.808953282081608,200,19020,2.680,0.0302640196941979,284576874,0.230421587783245,211512,0.823596752526138
"magicgamma",100,1,11,19020,475.126,0.802781110078567,200,19020,2.375,0.0268197935722836,293467016,0.237619926167053,230131,0.896096411813952
"magicgamma",1000,1,11,19020,482.884,0.81588916110501,200,19020,5.353,0.0604489915757617,317912511,0.257413417088762,247929,0.965399217335436
"magicgamma",10000,1,11,19020,537.106,0.907503590436766,200,19020,46.115,0.520755697088782,511544204,0.414196789957697,256815,1
"magicgamma",100000,1,11,19020,591.472,0.999361324659964,200,19020,88.112,0.99500869525939,873285584,0.707098394978848,256815,1
"magicgamma",1000000,1,11,19020,591.850,1,200,19020,88.554,1,1235026964,1,256815,1
"mesh_network",0,1,392,1193,29.643,0.983347155415492,200,1193,0.187,0.447368421052632,16741825,0.0134296894774346,25978,0.097796584008764
"mesh_network",1,1,392,1193,29.780,0.987891856029192,200,1193,0.187,0.447368421052632,1235668694,0.991208954663371,257789,0.970470536416786
"mesh_network",10,1,392,1193,29.853,0.990313484823354,200,1193,0.183,0.437799043062201,1236313334,0.991726061670805,258763,0.974137249513426
"mesh_network",15,1,392,1193,29.992,0.994924531431415,200,1193,0.188,0.449760765550239,1236960440,0.992245146814688,259734,0.977792668832562
"mesh_network",30,1,392,1193,29.858,0.990479349809255,200,1193,0.194,0.464114832535885,1237615421,0.99277054900015,260699,0.981425500596688
"mesh_network",40,1,392,1193,29.850,0.990213965831813,200,1193,0.194,0.464114832535885,1238277047,0.993301281565459,261661,0.985047038583309
"mesh_network",45,1,392,1193,29.945,0.993365400563941,200,1193,0.203,0.485645933014354,1238942324,0.993834942831568,262617,0.988645989014919
"mesh_network",60,1,392,1193,29.976,0.99439376347653,200,1193,0.189,0.452153110047847,1239613328,0.994373198090963,263572,0.992241174854028
"mesh_network",90,1,392,1193,29.854,0.990346657820534,200,1193,0.202,0.483253588516746,1240306370,0.994929131440811,264509,0.995768598028106
"mesh_network",100,1,392,1193,30.046,0.996715873279151,200,1193,0.193,0.461722488038278,1240994443,0.995481078837693,265456,0.999333667127202
"mesh_network",1000,1,392,1193,30.145,1,200,1193,0.385,0.921052631578947,1242361688,0.996577833569604,265633,1
"mesh_network",10000,1,392,1193,29.804,0.988688007961519,200,1193,0.418,1,1243783744,0.997718555713069,265633,1
"mesh_network",100000,1,392,1193,29.883,0.991308674738763,200,1193,0.407,0.973684210526316,1245205800,0.998859277856535,265633,1
"mesh_network",1000000,1,392,1193,30.121,0.999203848067673,200,1193,0.406,0.971291866028708,1246627856,1,265633,1
"musk",0,1,167,6598,191.475,0.929079872483515,200,6598,2.544,0.185896967482645,8088888,0.0371829770030285,6330,0.101608398343446
"musk",1,1,167,6598,196.519,0.953554497770402,200,6598,2.509,0.183339422725612,8088888,0.0371829770030285,6330,0.101608398343446
"musk",10,1,167,6598,191.715,0.930244406597086,200,6598,2.314,0.16909024479357,16192191,0.074432216836436,12657,0.203168641047867
"musk",15,1,167,6598,191.284,0.928153097418131,200,6598,2.662,0.194519546949214,24315621,0.11177397640533,18982,0.304696779992937
"musk",30,1,167,6598,190.555,0.924615825048158,200,6598,2.629,0.192108147606869,32465905,0.149239178363887,25301,0.406128607659957
"musk",40,1,167,6598,193.587,0.939327772682941,200,6598,2.633,0.192400438436244,40725207,0.187205513950073,31601,0.50725544961315
"musk",45,1,167,6598,194.307,0.942821375023654,200,6598,2.496,0.182389477530142,48952684,0.225025556468147,37907,0.608478602844393
"musk",60,1,167,6598,192.482,0.93396606353504,200,6598,2.565,0.187431494336865,57161839,0.262761376469524,44216,0.709749911714662
"musk",90,1,167,6598,193.411,0.938473780999656,200,6598,2.642,0.193058092802338,65456859,0.300891900454979,50509,0.810764390510129
"musk",100,1,167,6598,193.931,0.940996938245726,200,6598,2.300,0.168067226890756,73821121,0.33934071586611,56791,0.91160229862917
