"Function","average","connect4.csv","musk.csv","pendigits.csv","spam.csv","testCD.txt","testCDST.txt","testCDST2.txt","testCDST3.txt","testoutrank.txt"
"matlab_bgl-4.0.1/private/components_mex (MEX-file)",0.00317777777777778,0.0206,0.002,0.003,0.001,0,0,0.002,0,0
"matlab_bgl-4.0.1/private/merge_options",0.000211111111111111,0.001,0,0,0,0,0,0,0,0.0009
"matlab_bgl-4.0.1/private/mst_mex (MEX-file)",0.232566666666667,1.9952,0.007,0.0109,0.079,0,0,0,0,0.001
"mean",0.807811111111112,5.1011,0.4812,0.8634,0.3476,0.0346,0.1289,0.126,0.1467,0.0408
"message",0.142766666666667,0.1767,0.159,0.1554,0.1167,0.1559,0.113,0.1387,0.108,0.1615
"mst",0.000877777777777778,0.001,0,0,0.001,0,0.001,0.001,0.001,0.0029
"mx_d_preconditioner (MEX-file)",7.38677777777778,49.7018,3.2213,6.4461,2.4719,0.2992,0.9753,0.9874,1.108,1.27
"newplot",11.6527222222222,71.9966,8.1374,11.2516,4.6514,0.7992,2.5079,2.5167,2.4169,0.5968
"newplot>ObserveAxesNextPlot",6.86853333333334,42.9637,4.6267,6.4175,2.6426,0.4856,1.3897,1.4324,1.5212,0.3374
"newplot>ObserveFigureNextPlot",3.95141111111111,24.0111,2.8028,3.8984,1.6206,0.2905,0.9415,0.9129,0.8681,0.2168
"num2str",0.000555555555555556,0.002,0,0.002,0,0.001,0,0,0,0
"num2str>convertUsingRecycledSprintf",0.000555555555555556,0.002,0,0.001,0,0.001,0,0,0,0.001
"num2str>handleNumericPrecision",0.000222222222222222,0,0,0.001,0,0,0,0.001,0,0
"pcg",8.68008888888889,43.4746,5.4944,8.4183,7.4626,1.7479,1.8068,1.6763,1.8045,6.2354
"princomp",0.3622,0.4749,2.3764,0.0276,0.3809,0,0,0,0,0
"process_hierarchy",0.00155555555555556,0.003,0.002,0.003,0.001,0.001,0.003,0.001,0,0
"process_sparse_matrix",0.0129888888888889,0.0361,0.0179,0.045,0.005,0.001,0.002,0.003,0.004,0.0029
"randsrc",0.836355555555556,5.2649,0.5429,0.8291,0.2785,0.0258,0.1901,0.1863,0.1763,0.0333
"randsrc>@(a,b)rand(a,b)",0.131277777777778,0.8069,0.0798,0.1144,0.0551,0.006,0.0359,0.035,0.0419,0.0065
"randsrc>create@(a,b)rand(a,b)",0,0,0,0,0,0,0,0,0,0
"repmat",0.00527777777777778,0.002,0.007,0.004,0.005,0.006,0.007,0.007,0.005,0.0045
"scribe/private/getplotmanager",2.75755555555556,16.8539,1.8992,2.7614,1.1208,0.1952,0.6154,0.5828,0.6581,0.1312
"set_matlab_bgl_default",0.000433333333333333,0,0,0.001,0,0,0.001,0,0,0.0019
"setdiff",0.000111111111111111,0,0,0,0,0.001,0,0,0,0
"setdiff>setdifflegacy",0.000766666666666667,0.001,0,0.004,0.001,0,0,0,0,0.0009
"sortrows",0.00133333333333333,0.008,0,0.002,0.001,0,0,0.001,0,0
"sortrows>sort_back_to_front",0.0311555555555555,0.1883,0.027,0.0292,0.01,0.002,0.007,0.008,0.008,0.0009
"sparfun/private/iterapp",4.41142222222222,24.4663,2.1178,3.4318,2.0531,0.9778,1.0556,0.9981,1.0871,3.5152
"sparfun/private/iterchk",0.0844,0.12,0.0896,0.1106,0.066,0.0837,0.0773,0.0683,0.0623,0.0818
"sparfun/private/itermsg",0.102522222222222,0.1062,0.1005,0.128,0.1156,0.0971,0.0723,0.0714,0.0893,0.1423
"sparfun/private/itermsg>getIterationInfo",0.0709333333333334,0.0643,0.0678,0.0643,0.0671,0.0625,0.0664,0.0624,0.0763,0.1073
"splitforest (MEX-file)",0.00176666666666667,0.0099,0,0.003,0,0,0.001,0.002,0,0
"steiner_group",0.00263333333333333,0.0099,0.001,0.0068,0.002,0.001,0,0,0.003,0
"unique",0.00878888888888889,0.0089,0.007,0.0118,0.007,0.0069,0.008,0.009,0.011,0.0095
"unique>uniquelegacy",0.0284777777777778,0.0575,0.02,0.0323,0.027,0.0267,0.0279,0.0239,0.023,0.018
"update_groups (MEX-file)",0.00155555555555556,0.008,0.002,0.002,0,0,0.001,0,0.001,0
